Date and time,Download speed,Ping,Upload speed
2018-03-28 15:32:03,83161140.92846085,6.067514419555664,64416330.839732766
2018-03-28 15:34:07,55636645.94444576,21.81828022003174,33326195.12249594
2018-03-28 15:36:12,28917499.299625937,5.137801170349121,13493266.62734401
2018-03-28 15:38:22,28401874.7156366,23.17047119140625,16428746.24394453
2018-03-28 15:40:31,71575425.70937726,5.885481834411621,56973062.91543711
2018-03-28 15:42:36,99719696.92554635,5.428552627563477,32298098.072174698
2018-03-28 15:44:40,57733218.27705857,4.480540752410889,76310905.49840459
2018-03-28 15:46:44,87207408.33820023,7.342040538787842,55685529.26043445
2018-03-28 15:48:47,55270032.17857705,17.899692058563232,15645131.757151507
2018-03-28 15:50:53,51537902.54233572,6.958723068237305,60266320.04015855
2018-03-28 15:52:56,78530743.68518536,4.5996904373168945,68207330.94886383
2018-03-28 15:55:01,69099564.54291606,5.1007866859436035,58945666.51830474
2018-03-28 15:57:05,41333398.52013703,5.440831184387207,52233745.67146349
2018-03-28 15:59:11,59150990.47773221,5.296766757965088,55294535.568345666
2018-03-28 16:01:17,72690875.81580143,4.183709621429443,73107242.05786656
2018-03-28 16:03:22,85629863.12030357,6.295502185821533,45341800.14691652
2018-03-28 16:05:26,73900972.2251585,4.497706890106201,79341978.71888323
2018-03-28 16:07:30,62574625.97989874,34.568965435028076,75905999.41544545
2018-03-28 16:09:34,90064740.94203296,4.762470722198486,68007428.63316992
2018-03-28 16:11:41,71786730.64796148,28.922200202941895,75279981.18472734
2018-03-28 16:13:56,46067033.750983246,6.864011287689209,29951606.558746975
2018-03-28 16:16:00,86027114.11942999,4.368007183074951,70238022.66057166
2018-03-28 16:18:03,71151509.98448838,7.666230201721191,54703236.576356865
2018-03-28 16:20:08,57110167.053779826,4.500210285186768,79956700.03011768
2018-03-28 16:22:11,62734169.1821879,7.410705089569092,76367638.2188294
2018-03-28 16:24:17,78234981.63798118,4.852950572967529,55560423.779931925
2018-03-28 16:26:24,70720860.67151111,5.231738090515137,53152899.37788413
2018-03-28 16:28:27,77286366.62717727,5.542516708374023,39786267.33606788
2018-03-28 16:30:31,10087469.870297102,4.272699356079102,68971472.70296153
2018-03-28 16:32:45,59216554.03625833,4.804134368896484,55832582.02189242
2018-03-28 16:34:48,78365528.62460849,6.291985511779785,71345899.30250412
