date and time,download speed,ping,upload speed
2018-03-28 14:55:10,68010061.92400098,9.830772876739502,46804559.146127306
2018-03-28 14:57:15,25705227.41107966,7.9787373542785645,6284822.059548052
2018-03-28 14:59:30,15575822.416905235,20.69920301437378,21510472.016646184
2018-03-28 15:01:40,39197033.006659135,7.430136203765869,64936972.38779708
2018-03-28 15:03:45,45494191.08389387,13.259410858154297,25448050.26396999
2018-03-28 15:05:52,78920082.37129076,7.6795220375061035,56235003.456497096
2018-03-28 15:07:56,69488503.39900191,5.607783794403076,37750348.842473805
2018-03-28 15:10:08,35782681.977835655,6.6519975662231445,61653553.6705343
2018-03-28 15:12:14,46345302.66114171,71.40922546386719,7786326.392932612
2018-03-28 15:14:29,31271798.21724679,17.344295978546143,21890927.914922725
2018-03-28 15:16:36,42434780.11258085,8.775174617767334,27056731.133077815
2018-03-28 15:18:42,14682540.049249608,12.809038162231445,48470379.13875475
2018-03-28 15:20:57,34459724.112807795,6.694197654724121,67970989.18308114
2018-03-28 15:23:02,44966122.07264799,5.629003047943115,64804179.80391294
2018-03-28 15:25:09,34893832.03965382,7.783234119415283,34274686.70747475
2018-03-28 15:27:15,76073754.58843762,5.271494388580322,42387830.365458414
